bitmap
mag nearest
mips 0
texture fonts/arial32.png

size 32
row_h 32
y_offset 6

region SPACE 0 0 0 0 12

//character_id width advance
GLYPHS
0 17 2
1 10 2
2 16 2
3 17 2
4 17 2
5 17 2
6 17 2
7 16 2
8 17 2
9 17 2
A 22 2
B 18 2
C 22 2
D 20 2
E 17 2
F 17 2
G 23 2
H 18 2
I 4 2
J 13 2
K 20 2
L 15 2
M 22 2
N 18 2
O 24 2
P 18 2
Q 24 2
R 19 2
S 19 2
T 20 2
U 18 2
V 22 2
W 32 2
X 22 2
Y 22 2
Z 20 2
a 16 2
b 15 2
c 15 2
d 15 2
e 16 2
f 10 2
g 15 2
h 15 2
i 4 2
j 7 2
k 15 2
l 4 2
m 24 2
n 15 2
o 16 2
p 15 2
q 15 2
r 10 2
s 15 2
t 9 2
u 15 2
v 16 2
w 24 2
x 15 2
y 16 2
z 15 2
. 3 2
- 8 2
| 2 2
